E-shop;I/2025;I/2026;I YoY %;II/2025;II/2026;II YoY %;III/2025;III/2026;III YoY %;IV/2025;IV/2026;IV YoY %;01-04/2025;01-04/2026;01-04 YoY %
e-kondomy.cz;20167;22231;10,2%;18071;22817;26,3%;15691;18607;18,6%;15800;19196;21,5%;69729;82851;18,8%
ruzovyslon.cz (Slon);18114;18542;2,4%;19611;18815;-4,1%;12771;14560;14,0%;13014;11935;-8,3%;63510;63852;0,5%
erosstar.cz;4721;4815;2,0%;4874;3923;-19,5%;4029;4084;1,4%;3858;4407;14,2%;17482;17229;-1,4%
sexshop.cz;5316;;bez dat;4903;;bez dat;3643;;bez dat;3466;;bez dat;17328;;bez dat
flagranti.cz;3242;2915;-10,1%;3261;2311;-29,1%;3188;1627;-49,0%;3193;nova rada;;9691;6853;-29,3%
deeplove.cz;3974;3858;-2,9%;3250;3148;-3,1%;2757;3262;18,3%;3026;2859;-5,5%;13007;13127;0,9%
yoo.cz;2352;7572;nespolehlive;2878;12106;nespolehlive;2053;3075;49,8%;2147;3121;45,3%;4200;6196;47,5%
sexshopik.cz;540;455;-15,7%;482;651;35,1%;388;452;16,5%;445;593;33,3%;1855;2151;16,0%
eroticke-pomucky.cz;271;79;-70,8%;217;56;-74,2%;226;67;-70,4%;172;83;-51,7%;886;285;-67,8%
Intimfitness.cz;;272;novy;;98;novy;;82;novy;;86;novy;;538;novy
Hopnato.cz;;293;novy;;136;novy;;147;novy;;190;novy;;766;novy
honitka.cz;;188;novy;;131;novy;;106;novy;;144;novy;;569;novy
;;;;;;;;;;;;;;;
Gap eKond - Slon;2053;3689;+80%;-1540;4002;obrat;2920;4047;+39%;2786;7261;+161%;6219;18999;+205%
Slon / e-kondomy;90%;83%;;108%;82%;;81%;78%;;82%;62%;;91%;77%;
