E-shop;I/2025;I/2026;I YoY %;II/2025;II/2026;II YoY %;III/2025;III/2026;III YoY %;IV/2025;IV/2026;IV YoY %;01-04/2025;01-04/2026;01-04 YoY %
superlove.sk;6771;7073;4,5%;7110;7417;4,3%;6819;7087;3,9%;5620;6210;10,5%;26320;27787;5,6%
ruzovyslon.sk (Slon);2741;3111;13,5%;3262;3939;20,7%;2086;2972;42,5%;1740;1867;7,3%;9829;11889;21,0%
isexshop.sk;1288;1444;12,1%;2440;2251;-7,7%;2318;1710;-26,2%;1531;1327;-13,3%;7577;6732;-11,1%
flagranti.sk;1536;1270;-17,3%;1642;1167;-28,9%;1857;899;-51,6%;1609;516;-67,9%;6644;3852;-42,0%
eros.sk;751;1195;59,1%;849;1613;89,9%;764;1466;91,9%;488;1367;180,1%;2852;5641;97,8%
kondomshop.sk;;454;novy;;811;novy;;870;novy;;605;novy;;2740;novy
sexshop.sk;;;;;;;;50;;bez dat;58;;bez dat;108;;bez dat
Erotickyshop.sk;27;14;-48,1%;36;16;-55,6%;25;18;-28,0%;12;19;58,3%;100;67;-33,0%
;;;;;;;;;;;;;;;
Slon / superlove;40%;44%;;46%;53%;;31%;42%;;31%;30%;;37%;43%;
